Informations de la variable,,,,,,,,,
Variable,Position,Etiquette,Niveau de mesure,Rôle,Largeur des colonnes,Alignement,Format d'impression,Format d'écriture,Valeurs manquantes
,"2,00",[200 Mo - 500 Mo[,,,,,,,
,"3,00",[500 Mo - 1 Go[,,,,,,,
,"4,00",[1 Go - 3 Go[,,,,,,,
,"5,00",[3 Go - 5 Go[,,,,,,,
,"6,00",[5 Go - 10 Go[,,,,,,,
,"7,00",10 Go et Plus,,,,,,,
,"99,00",Nsp,,,,,,,
Q9,"1,00",Line 1 200 = 3 N° Favoris + 3 H + 300 Mo + 500 SMS + Fb & twitter &WhatsApp,,,,,,,
,"2,00",Line 2 000 = Gratuit 20h à 08h + 4 H + 1 Go + 200 SMS,,,,,,,
,"3,00",Line 3 000 = Gratuit 24h + 3 H + 1.5 Go + 300 SMS,,,,,,,
,"4,00",Line 5 000 = Gratuit 24h + 10 H + 4 Go + SMS Gratuit,,,,,,,
,"5,00",Business Control 900 = 300 Mo,,,,,,,
,"6,00",Business 1100 = 100 Mo + 5H,,,,,,,
,"7,00",Business Control 2000 = 600 Mo + 5H,,,,,,,
,"8,00",Business 2200 = 300 Mo + 11H,,,,,,,
,"9,00",Business Control 3000 = 900 Mo + 10H,,,,,,,
,"10,00",Business Control 3500 = 600 Mo + 20H,,,,,,,
,"11,00",Infinity 2000 = 1Go +4H,,,,,,,
,"12,00",Infinity 3000 = 1.5Go +3H,,,,,,,
,"13,00",Infinity 5000 = 4Go +10H,,,,,,,
,"21,00","MobiControl 1 500 ++ = 1 500 DA = 1 500 DA + 1 Go""",,,,,,,
,"22,00","MobiControl 2 000 DA = 2 000 DA = 2 000 DA + 250 Mo""",,,,,,,
,"23,00","Win 1 300 = 500 DA à l""achat + 3 N° Favoris + 3 H + 1 Go + 100 SMS",,,,,,,
,"24,00","Win 2 000  = 500 DA à l""achat + 3 N° Favoris + 5 H + 2 Go + 200 SMS",,,,,,,
,"26,00",Mhenni ++ 800 = 1Go + 10 H,,,,,,,
,"27,00",Mhenni + 800 = 100 Mo + 1 H,,,,,,,
